feature1,feature2,corrlation,threashold,reg_line_a,reg_line_b
aileron_0,engine_rpm,0,1839.329718,1246.25131,1839.329718
elevator,engine_rpm,0,1872.667975,1257.502173,1872.667975
rudder,engine_rpm,0,0,NaN,NaN
flaps,engine_rpm,0,0,NaN,NaN
slats,engine_rpm,0,0,NaN,NaN
speedbrake,engine_rpm,0,0,NaN,NaN
throttle_0,engine_rpm,0.9522346,1053.607535,1766.940293,700.2194765
throttle_1,engine_rpm,0,0,NaN,NaN
engine-pump_0,engine_rpm,0,0,NaN,NaN
engine-pump_1,engine_rpm,0,0,NaN,NaN
electric-pump_0,engine_rpm,0,0,NaN,NaN
electric-pump_1,engine_rpm,0,0,NaN,NaN
external-power,engine_rpm,0,0,NaN,NaN
APU-generator,engine_rpm,0,0,NaN,NaN
latitude-deg,engine_rpm,0,1945.756994,32124.32356,-2053748.679
longitude-deg,engine_rpm,0,2269.003392,14891.85678,338713.0341
altitude-ft,engine_rpm,0,1747.70965,0.214425439,1716.357199
roll-deg,attitude-indicator_internal-roll-deg,0.999997174,0.158220429,0.999894655,-0.006121563
pitch-deg,attitude-indicator_internal-pitch-deg,0.979763173,4.991288673,1.005415972,-0.309008958
heading-deg,indicated-heading-deg,0.952349103,287.2116029,0.967787694,25.88825176
side-slip-deg,engine_rpm,0,1724.518278,-22.10663345,1724.518278
airspeed-kt,airspeed-indicator_indicated-speed-kt,0.999135975,4.53960058,0.977914905,0.934113195
glideslope,engine_rpm,0,3782.156614,2969.911321,1731.79701
vertical-speed-fps,gps_indicated-vertical-speed,0.999772805,252.8113533,60.41751499,-3.281869126
airspeed-indicator_indicated-speed-kt,airspeed-kt,0.999135975,4.729918216,1.020817549,-0.853922543
altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,0.992278189,265.5427575,0.984718032,-265.5427575
altimeter_pressure-alt-ft,encoder_pressure-alt-ft,0.999886397,7.393678045,0.998176944,0.380997964
attitude-indicator_indicated-pitch-deg,pitch-deg,0.940961919,10.63539397,0.918334994,0.039374042
attitude-indicator_indicated-roll-deg,engine_rpm,0,1736.937683,-13.35994458,1736.937683
attitude-indicator_internal-pitch-deg,pitch-deg,0.979763173,4.747702128,0.954764895,0.524043872
attitude-indicator_internal-roll-deg,roll-deg,0.999997174,0.158161549,1.000099704,0.006096981
encoder_indicated-altitude-ft,encoder_pressure-alt-ft,1,0.000140782,0.999999987,-0.000140782
encoder_pressure-alt-ft,encoder_indicated-altitude-ft,1,0.000140782,1.000000013,0.000140782
gps_indicated-altitude-ft,altimeter_pressure-alt-ft,0.955954258,363.2036624,0.881639647,-341.5663084
gps_indicated-ground-speed-kt,airspeed-kt,0.97381775,26.5215946,0.936337852,3.891642128
gps_indicated-vertical-speed,vertical-speed-fps,0.999772805,4.182571863,0.016543972,0.054276446
indicated-heading-deg,heading-deg,0.952349103,274.9239065,0.937156796,-4.902544467
magnetic-compass_indicated-heading-deg,engine_rpm,0,2127.324965,2.048086041,1421.856891
slip-skid-ball_indicated-slip-skid,engine_rpm,0,1592.179114,410.5028386,1592.179114
turn-indicator_indicated-turn-rate,engine_rpm,0,1808.941579,210.5335228,1808.941579
vertical-speed-indicator_indicated-speed-fpm,engine_rpm,0,4747.173135,0.862941202,1842.660735
engine_rpm,throttle_0,0.9522346,0.503224254,0.000513176,-0.303224254
