feature1,feature2,corrlation,threashold,circle_x,circle_y,radius
aileron,engine_rpm,0,1839.329718,-0.003914,1331.06165,1331.06165
elevator,engine_rpm,0,1872.667975,0.003914,1331.06165,1331.06165
rudder,engine_rpm,0,0,0,1331.06165,1331.06165
flaps,engine_rpm,0,0,0,1331.06165,1331.06165
slats,engine_rpm,0,0,0,1331.06165,1331.06165
speedbrake,engine_rpm,0,0,0,1331.06165,1331.06165
throttle_0,engine_rpm,0.9522346,1053.607535,0.449218005,1331.06165,1331.06177
throttle_1,engine_rpm,0,0,0,1331.06165,1331.06165
engine-pump_0,engine_rpm,0,0,0,1331.06165,1331.06165
engine-pump_1,engine_rpm,0,0,0,1331.06165,1331.06165
electric-pump_0,engine_rpm,0,0,0,1331.06165,1331.06165
electric-pump_1,engine_rpm,0,0,0,1331.06165,1331.06165
external-power,engine_rpm,0,0,0,1331.06165,1331.06165
APU-generator,engine_rpm,0,0,0,1331.06165,1331.06165
latitude-deg,engine_rpm,0,1945.756994,63.9919662,1331.06165,1331.06165
longitude-deg,engine_rpm,0,2269.003392,-22.6270561,1331.06165,1331.06165
altitude-ft,engine_rpm,0,1747.70965,-4580.65088,1331.06165,5579.44727
roll-deg,attitude-indicator_internal-roll-deg,0.999997174,0.158220429,-8.94085979,-8.94046116,40.3034439
pitch-deg,attitude-indicator_internal-pitch-deg,0.979763173,4.991288673,3.57343674,3.57344866,18.4941235
heading-deg,indicated-heading-deg,0.952349103,287.2116029,508.73645,362.890656,492.805573
side-slip-deg,engine_rpm,0,1724.518278,42.9231796,1331.06165,1331.88928
airspeed-kt,airspeed-indicator_indicated-speed-kt,0.999135975,4.53960058,46.9113083,46.7078972,66.1989288
glideslope,engine_rpm,0,3782.156614,0,2584.01611,2584.01611
vertical-speed-fps,gps_indicated-vertical-speed,0.999772805,252.8113533,-10.2383194,-607.060913,1579.76355
airspeed-indicator_indicated-speed-kt,airspeed-kt,0.999135975,4.729918216,46.7078972,46.9113083,66.1989288
altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,0.992278189,265.5427575,342.822144,79.1842346,504.085663
altimeter_pressure-alt-ft,encoder_pressure-alt-ft,0.999886397,7.393678045,79.1842346,80,506.607513
attitude-indicator_indicated-pitch-deg,pitch-deg,0.940961919,10.63539397,3.57344866,3.57343674,18.4941235
attitude-indicator_indicated-roll-deg,engine_rpm,0,1736.937683,4.95141315,1331.06165,1331.52295
attitude-indicator_internal-pitch-deg,pitch-deg,0.979763173,4.747702128,3.57344866,3.57343674,18.4941235
attitude-indicator_internal-roll-deg,roll-deg,0.999997174,0.158161549,-8.94046116,-8.94085979,40.3034439
encoder_indicated-altitude-ft,encoder_pressure-alt-ft,1,0.000140782,80.0001526,80,509.116882
encoder_pressure-alt-ft,encoder_indicated-altitude-ft,1,0.000140782,80,80.0001526,509.116882
gps_indicated-altitude-ft,altimeter_pressure-alt-ft,0.955954258,363.2036624,483.248322,79.1739197,511.831512
gps_indicated-ground-speed-kt,airspeed-kt,0.97381775,26.5215946,45.9923935,46.9091606,65.694519
gps_indicated-vertical-speed,vertical-speed-fps,0.999772805,4.182571863,-607.060913,-10.2383194,1579.76355
indicated-heading-deg,heading-deg,0.952349103,274.9239065,230.549057,217.337814,180.170135
magnetic-compass_indicated-heading-deg,engine_rpm,0,2127.324965,220.922577,2611.14404,2620.47314
slip-skid-ball_indicated-slip-skid,engine_rpm,0,1592.179114,0.376930505,1331.06165,1331.06165
turn-indicator_indicated-turn-rate,engine_rpm,0,1808.941579,-2.43827009,1973.83228,1973.83374
vertical-speed-indicator_indicated-speed-fpm,engine_rpm,0,4747.173135,704.673462,462.934723,2701.12134
engine_rpm,throttle_0,0.9522346,0.503224254,1331.06165,0.449218005,1331.06177
